question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,5.075588741001411,1847,0.008925,AC,0.0441462439994211,22,0,0,0,0,22
Gomoku,Médio,5.842302044002281,1989,0.008751,AC,0.0490575170006195,30,0,0,0,0,30
Notas da Prova,Fácil,3.580039744996612,1164,0.004332,AC,0.0370749510002497,20,0,0,0,0,20
Jogo da Vida,Médio,5.925517264000519,2183,0.011289,AC,0.1727374299989605,19,0,0,0,0,19
Muro,Médio,8.846426467996935,2930,0.014538,AC,0.0600405740005953,41,0,0,0,0,41
O Chefe,Médio,12.857706577997304,3095,0.023613,AC,0.2064461900008609,28,0,0,0,0,28
Proteja sua senha,Médio,10.41087389400127,2023,0.013545,WA,0.0221362140000564,5,5,0,0,0,10
Chinelos,Fácil,2.594818718996976,1261,0.004959,AC,0.0387430440023308,16,0,0,0,0,16
Jogo dos copos,Fácil,3.500397414998588,1441,0.006303,AC,0.0606946560001233,50,0,0,0,0,50
Tiro ao Alvo,Médio,7.596602052002709,1726,0.010458,AC,0.3634491560005699,41,0,0,0,0,41
Robô_2021,Médio,3.677642915998149,1358,0.005058,WA,0.0552678979984193,33,17,0,0,0,50
Transportes,Difícil,10.20699635100027,3045,0.017715,TLE,15.0,99,0,0,8,0,107
Jogo de Dominós,Fácil,3.693330165999214,867,0.002937,AC,0.0480424429988488,42,0,0,0,0,42
Arco e flecha,Médio,5.251784832998965,1508,0.00774,RE,0.1317190030022175,0,0,39,0,0,39
Móbile,Médio,7.091685856998083,2444,0.0125639999999999,WA,0.1663936750010179,102,1,0,0,0,103
Campo de Minhocas,Fácil,2.9184017830011726,1547,0.006321,AC,0.0518859409967262,20,0,0,0,0,20
Entrega de Caixas,Fácil,9.747565059002229,1616,0.011316,AC,0.0359432250006648,22,0,0,0,0,22
Cinema,Fácil,4.155879070000083,661,0.002847,AC,0.0387328620017797,20,0,0,0,0,20
Montanha,Médio,2.5531999740014726,1114,0.004338,AC,0.0459319670007971,33,0,0,0,0,33
Torre,Médio,3.506937464000657,1191,0.005937,WA,0.5336210610003036,0,33,0,0,0,33
Mesa redonda,Fácil,6.4816008689995215,1413,0.008199,AC,0.0608395369999925,65,0,0,0,0,65
Pizzaria,Fácil,2.697604334000061,1202,0.004014,AC,0.0245915080013219,10,0,0,0,0,10
Redes de Descanso,Médio,17.196445854999183,2296,0.0182039999999999,RE,0.1107497650009463,0,0,35,0,0,35
Mancha,Médio,21.456793068999104,3103,0.022533,RE,0.1022719730026437,0,0,30,0,0,30
Escher,Fácil,3.724654460002057,1056,0.004068,AC,0.0780974500012234,54,0,0,0,0,54
Nova avenida,Fácil,9.040619723997224,1649,0.012399,WA,0.0751300869997066,1,11,0,0,0,12
Game Show,Fácil,2.5330800699994143,1404,0.005004,AC,0.0394147900005918,25,0,0,0,0,25
Manchas de pele,Difícil,4.677924655999959,1580,0.00894,AC,0.7601245579971874,61,0,0,0,0,61
Castelos da Nlogônia,Médio,5.010182074998738,1810,0.010902,AC,0.0848284210005658,36,0,0,0,0,36
Capitais,Difícil,23.238252592000208,2656,0.028236,RE,0.1323694009988685,0,0,38,0,0,38
Quadrado Mágico_2022,Médio,5.867152179998811,1216,0.007332,AC,0.0325806780019775,20,0,0,0,0,20
Piloto Automático,Fácil,2.2034268629977305,969,0.003867,AC,0.0284900810002,17,0,0,0,0,17
Falta uma,Fácil,5.395630729999539,1128,0.0066599999999999,AC,0.2293763839988969,28,0,0,0,0,28
Palavras Cruzadas_2020,Médio,4.005972042999929,1490,0.006318,AC,0.0661694070004159,20,0,0,0,0,20
Piso da escola,Fácil,16.470051180000155,2089,0.015783,RE,0.1288694719987688,0,0,30,0,0,30
Ônibus,Médio,3.9574499359987385,1294,0.006954,AC,0.0687892980022297,19,0,0,0,0,19
Chocolate em barra,Fácil,3.214981080000144,1221,0.005787,AC,0.0378362080009537,28,0,0,0,0,28
Campo Minado,Fácil,3.7222973850002745,1041,0.004119,AC,0.0597029079981439,48,0,0,0,0,48
