question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,4.365136558000813,1561,0.006807,AC,0.049508448002598,22,0,0,0,0,22
Gomoku,Médio,3.7098708630001056,1868,0.008472,AC,0.0484550610017322,30,0,0,0,0,30
Notas da Prova,Fácil,2.068115562000457,1073,0.004059,WA,0.0398440269964339,7,13,0,0,0,20
Jogo da Vida,Médio,5.424749675999919,1999,0.010245,AC,0.152057232997322,19,0,0,0,0,19
Muro,Médio,23.6033698550018,2371,0.025077,WA,0.051288406997628044,3,38,0,0,0,41
O Chefe,Médio,25.68422715500492,2881,0.023127,AC,0.19420623800397152,28,0,0,0,0,28
Proteja sua senha,Médio,8.790060610997898,1763,0.011481,WA,0.02379417400516104,5,5,0,0,0,10
Chinelos,Fácil,2.2772917769980268,1181,0.0047550000000000005,AC,0.028374249006446917,16,0,0,0,0,16
Jogo dos copos,Fácil,2.8499083899951074,1264,0.005772,AC,0.0595833940024022,50,0,0,0,0,50
Tiro ao Alvo,Médio,7.779379316001723,1674,0.010386,AC,0.3844668339952477,41,0,0,0,0,41
Robô_2021,Médio,3.052432055999816,1295,0.004869,WA,0.05848860499827424,33,17,0,0,0,50
Transportes,Difícil,8.52217160500004,2971,0.017397,TLE,15.0,99,0,0,8,0,107
Jogo de Dominós,Fácil,2.3907880799961276,787,0.0026969999999999997,AC,0.053356415999587625,42,0,0,0,0,42
Arco e flecha,Médio,4.797773326004972,1388,0.007428000000000001,RE,0.11298399500083178,0,0,39,0,0,39
Móbile,Médio,6.969825177999155,1731,0.010065000000000001,WA,0.18320099899574416,102,1,0,0,0,103
Campo de Minhocas,Fácil,4.656207127001835,1496,0.006168,AC,0.035179595004592557,20,0,0,0,0,20
Entrega de Caixas,Fácil,16.694632538004953,1843,0.016269000000000002,AC,0.03782178400433622,22,0,0,0,0,22
Cinema,Fácil,12.102004208994913,1159,0.010785000000000001,RE,0.08806854300200939,0,0,20,0,0,20
Montanha,Médio,2.1073910139966756,985,0.003951,AC,0.04304152799886651,33,0,0,0,0,33
Torre,Médio,3.07901932799723,1120,0.0056760000000000005,WA,0.5424726940036635,0,33,0,0,0,33
Mesa redonda,Fácil,7.020758243001183,1279,0.007089,AC,0.061974521006050054,65,0,0,0,0,65
Pizzaria,Fácil,2.1098400880000554,1067,0.003645,AC,0.02537155399477342,10,0,0,0,0,10
Redes de Descanso,Médio,14.39905987399834,1906,0.014982,AC,0.19274169499840355,35,0,0,0,0,35
Mancha,Médio,10.087580825005716,1999,0.014649,AC,0.19950303099903977,30,0,0,0,0,30
Escher,Fácil,2.742087626000284,950,0.003954,WA,0.0728013629995985,46,8,0,0,0,54
Nova avenida,Fácil,8.575886673999776,1521,0.011115,AC,0.06991369600291364,12,0,0,0,0,12
Game Show,Fácil,2.0798819509946043,1362,0.004878,AC,0.043308711996360216,25,0,0,0,0,25
Manchas de pele,Difícil,4.57886121699994,1402,0.007818,AC,0.6970613619996584,61,0,0,0,0,61
