question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,28.145531622001727,3651,0.031942,AC,0.0436129539993999,22,0,0,0,0,22
Gomoku,Médio,12.762176041000204,3014,0.020948,AC,0.0529387579990725,30,0,0,0,0,30
Notas da Prova,Fácil,12.468657737001196,1882,0.014314,AC,0.0379740740027045,20,0,0,0,0,20
Jogo da Vida,Médio,22.135571263999736,4076,0.028062,AC,0.2157074729984742,19,0,0,0,0,19
Muro,Médio,15.62759929299864,2784,0.025648,AC,0.0561163710008258,41,0,0,0,0,41
O Chefe,Médio,64.69525357900056,10132,0.107304,AC,0.1641683130001183,28,0,0,0,0,28
Proteja sua senha,Médio,30.870742256000085,5338,0.053426,AC,0.0244225770002231,10,0,0,0,0,10
Chinelos,Fácil,13.505131486999744,2373,0.019676,AC,0.0319223400001646,16,0,0,0,0,16
Jogo dos copos,Fácil,9.459845344994392,1851,0.013072,AC,0.074467430000368,50,0,0,0,0,50
Tiro ao Alvo,Médio,23.10070466400066,3854,0.035868,AC,0.4534874700038926,41,0,0,0,0,41
Robô_2021,Médio,10.575438072999532,2301,0.017062,AC,0.0662138429979677,50,0,0,0,0,50
Transportes,Difícil,58.556733867997536,7969,0.076778,AC,4.11726632600039,107,0,0,0,0,107
Jogo de Dominós,Fácil,9.344607862003611,1568,0.012426,AC,0.0787800079997396,42,0,0,0,0,42
Arco e flecha,Médio,58.16518242099846,8530,0.09301,AC,1.3610141280005337,39,0,0,0,0,39
Móbile,Médio,28.1610845039977,4384,0.041218,WA,0.1555973330032429,102,1,0,0,0,103
Campo de Minhocas,Fácil,13.315231968001171,2281,0.016312,AC,0.0528082239979994,20,0,0,0,0,20
Entrega de Caixas,Fácil,18.902589641002123,2659,0.023738,AC,0.0429437619968666,22,0,0,0,0,22
Cinema,Fácil,9.7206823000015,1669,0.015228,AC,0.0385831919993506,20,0,0,0,0,20
Montanha,Médio,12.078098682999553,2157,0.018304,AC,0.0468895179947139,33,0,0,0,0,33
Torre,Médio,27.576549368001,3498,0.033956,AC,0.6970457389979856,33,0,0,0,0,33
Mesa redonda,Fácil,14.744012636998375,2830,0.02533,AC,0.0630520190024981,65,0,0,0,0,65
Pizzaria,Fácil,11.09930860199529,1769,0.012688,AC,0.0245336540028802,10,0,0,0,0,10
Redes de Descanso,Médio,28.88070575100573,2961,0.025962,AC,0.153682331998425,35,0,0,0,0,35
Mancha,Médio,109.10979534100623,12600,0.14008,AC,0.1614381409963243,30,0,0,0,0,30
Escher,Fácil,13.601902245995008,2074,0.017678,AC,0.0726507720028166,54,0,0,0,0,54
Nova avenida,Fácil,22.963922981005453,3403,0.032216,AC,0.0799122960015665,12,0,0,0,0,12
Game Show,Fácil,11.058958995003197,2241,0.016302,AC,0.0365867169966804,25,0,0,0,0,25
Manchas de pele,Difícil,40.134136477005086,4580,0.04531,AC,0.4866652799973963,61,0,0,0,0,61
Castelos da Nlogônia,Médio,15.517817143001594,2907,0.024774,AC,0.0618596659987815,36,0,0,0,0,36
Capitais,Difícil,117.04570838200016,14757,0.169454,AC,0.42522790300427,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,13.248657235999415,2424,0.021978,AC,0.0305527550008264,20,0,0,0,0,20
Piloto Automático,Fácil,20.913625012995908,1769,0.013898,AC,0.033260213000176,17,0,0,0,0,17
Falta uma,Fácil,19.139924650000463,2986,0.029642,AC,0.1809891880038776,28,0,0,0,0,28
Palavras Cruzadas_2020,Médio,16.32063557899528,2994,0.026848,AC,0.0318907619948731,20,0,0,0,0,20
Piso da escola,Fácil,14.987726983999892,2350,0.02019,AC,0.0370783109974581,30,0,0,0,0,30
Ônibus,Médio,14.84646039299696,2515,0.02266,AC,0.0522742920002201,19,0,0,0,0,19
Chocolate em barra,Fácil,13.414504234999184,2232,0.019004,AC,0.0421876129985321,28,0,0,0,0,28
Campo Minado,Fácil,11.581152922997717,1909,0.015408,AC,0.060038898998755,48,0,0,0,0,48
Fila_2025,Médio,19.454221719999623,3518,0.033036,AC,0.1348478700019768,26,0,0,0,0,26
Jogo dos Pinos,Fácil,20.64309321500332,3168,0.029706,AC,0.031403818000399,16,0,0,0,0,16
Diagonal,Médio,62.62735627499933,8600,0.09278,AC,0.5848855520016514,46,0,0,0,0,46
Sr. Toupeira,Médio,26.438990057999035,4736,0.044592,AC,0.2877372759976424,26,0,0,0,0,26
Sr. Sapo,Difícil,29.331110391998664,4267,0.041454,AC,0.0776671130006434,29,0,0,0,0,29
Duende Perdido,Médio,16.272262512000452,2902,0.024444,AC,0.0455260650051059,20,0,0,0,0,20
Bingo!,Médio,23.817725646003964,4231,0.041582,AC,0.8989640720028547,35,0,0,0,0,35
Ponto do meio,Fácil,21.135843397998546,1748,0.013706,AC,0.044820916999015,31,0,0,0,0,31
Game-10,Fácil,8.729655362003541,1762,0.012864,AC,0.0477513750010984,46,0,0,0,0,46
TV da Vovó,Médio,43.21155495400308,6778,0.070086,AC,0.1418246050016023,10,0,0,0,0,10
Dança Indígena,Difícil,99.01063151400012,12312,0.135554,AC,0.1177134200042928,30,0,0,0,0,30
Chuva_2016,Médio,36.305009370000334,4731,0.049122,AC,0.3672027189968503,40,0,0,0,0,40
