question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,2.3053539729953627,1470,0.0017649,AC,0.04336526399856666,22,0,0,0,0,22
Gomoku,Médio,8.947933650000778,1816,0.0019221000000000002,AC,0.03783299500355497,30,0,0,0,0,30
Notas da Prova,Fácil,0.9042599559979863,904,0.00052755,WA,0.03606971899716882,2,18,0,0,0,20
Jogo da Vida,Médio,2.5056164909983636,2432,0.0023889000000000002,AC,0.17089018499973463,19,0,0,0,0,19
Muro,Médio,1.4905275999990408,948,0.00117765,WA,0.051715982001041993,3,38,0,0,0,41
O Chefe,Médio,5.1040262110036565,2172,0.0044208,RE,0.11777399799757404,0,0,28,0,0,28
Proteja sua senha,Médio,2.78670227600378,1458,0.0022310999999999998,WA,0.024916337999457028,5,5,0,0,0,10
Chinelos,Fácil,1.1727237819941365,1034,0.00087465,AC,0.02775008299795445,16,0,0,0,0,16
Jogo dos copos,Fácil,1.3202540280035464,1098,0.00101295,AC,0.06211210000037681,50,0,0,0,0,50
Tiro ao Alvo,Médio,1.9346627190025174,1241,0.0012859500000000001,WA,0.3390154389999225,5,36,0,0,0,41
Robô_2021,Médio,1.5738668460035115,1218,0.00125325,AC,0.06542385100328829,50,0,0,0,0,50
Transportes,Difícil,2.5068991230000393,2192,0.00200775,WA,1.7405990539991762,65,42,0,0,0,107
Jogo de Dominós,Fácil,3.109008934996382,699,0.00036225,AC,0.06022241900063818,42,0,0,0,0,42
Arco e flecha,Médio,1.5071984929963946,1157,0.0013377,AC,1.60589271599747,39,0,0,0,0,39
Móbile,Médio,6.321044079006242,1318,0.00122145,AC,0.16429734299890697,103,0,0,0,0,103
Campo de Minhocas,Fácil,1.8797026210013428,1327,0.0013398,AC,0.04319930000201566,20,0,0,0,0,20
Entrega de Caixas,Fácil,1.599528286998975,967,0.00103425,WA,0.03456762999849161,17,5,0,0,0,22
Cinema,Fácil,1.1663948130008066,622,0.00087135,WA,0.03409216799627757,3,17,0,0,0,20
Montanha,Médio,1.1870464349995018,893,0.0008301,AC,0.04539905900310259,33,0,0,0,0,33
Torre,Médio,1.5045463369970093,1040,0.0013962000000000002,WA,0.6382356689937296,0,33,0,0,0,33
Mesa redonda,Fácil,1.2203644109977176,997,0.00074625,WA,0.11930100199970184,36,4,25,0,0,65
Pizzaria,Fácil,0.9051420370014966,931,0.00037365,AC,0.022789312999520916,10,0,0,0,0,10
Redes de Descanso,Médio,1.47895683599927,1128,0.0011871,AC,0.19624948300042888,35,0,0,0,0,35
Mancha,Médio,3.0491599020024296,1576,0.0030034500000000004,TLE,15.0,10,0,0,20,0,30
