question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,2.6166951180020988,1572,0.0039279999999999,AC,0.0450527290013269,22,0,0,0,0,22
Gomoku,Médio,2.919266476001212,1912,0.004652,AC,0.0609942160008358,30,0,0,0,0,30
Notas da Prova,Fácil,1.7801681230012036,1009,0.002302,AC,0.0450641829993401,20,0,0,0,0,20
Jogo da Vida,Médio,3.3786349410002003,1911,0.004958,AC,0.4636497909996251,19,0,0,0,0,19
Muro,Médio,2.370485210998595,2180,0.004952,WA,0.0485628019996511,3,38,0,0,0,41
O Chefe,Médio,9.141316318000465,2597,0.009042,WA,15.0,2,4,3,19,0,28
Proteja sua senha,Médio,3.251216488002683,1499,0.00391,WA,0.0273606430018844,5,5,0,0,0,10
Chinelos,Fácil,1.8360898499995528,1105,0.002594,AC,0.0452447179995942,16,0,0,0,0,16
Jogo dos copos,Fácil,2.0699543009977788,1237,0.00301,AC,0.0711386180009867,50,0,0,0,0,50
Tiro ao Alvo,Médio,3.1086785789993883,1353,0.003578,AC,1.0447758850023092,41,0,0,0,0,41
Robô_2021,Médio,1.9582396899968444,1272,0.003096,AC,0.0718552539983647,50,0,0,0,0,50
Transportes,Difícil,6.108205006999924,2449,0.006874,TLE,15.0,86,0,1,20,0,107
Jogo de Dominós,Fácil,1.4834560790004616,795,0.001706,WA,0.0879469419996894,1,41,0,0,0,42
Arco e flecha,Médio,4.179696851999324,1447,0.004382,RE,1.5303645940002752,2,0,37,0,0,39
Móbile,Médio,2.8825825800013263,1895,0.004602,AC,0.3320233609993011,103,0,0,0,0,103
Campo de Minhocas,Fácil,2.272444327001722,1354,0.003384,AC,0.0799076610019255,20,0,0,0,0,20
Entrega de Caixas,Fácil,2.0571393050013285,1072,0.002656,WA,0.0600214680016506,17,5,0,0,0,22
Cinema,Fácil,1.3988699959991209,644,0.001564,AC,0.0535224979976192,20,0,0,0,0,20
Montanha,Médio,1.386671932999889,1014,0.0023279999999999,AC,0.0946885330013174,33,0,0,0,0,33
Torre,Médio,2.135101764000865,1089,0.00287,WA,1.4500788140030636,0,33,0,0,0,33
Mesa redonda,Fácil,1.7600971419997222,1090,0.002608,WA,0.0994896570009586,0,65,0,0,0,65
Pizzaria,Fácil,1.1407032089991844,1066,0.0023079999999999,AC,0.0249487279979803,10,0,0,0,0,10
Redes de Descanso,Médio,4.937268444999063,1550,0.004696,WA,1.973025694998796,1,34,0,0,0,35
Mancha,Médio,6.127330362000066,2154,0.006196,TLE,15.0,10,2,0,18,0,30
Escher,Fácil,2.9494201369998336,1104,0.0031399999999999,AC,0.0880279849989165,54,0,0,0,0,54
Nova avenida,Fácil,1.7098347670034857,1060,0.002616,AC,0.1602486269985092,12,0,0,0,0,12
Game Show,Fácil,1.467422241003078,1207,0.002642,AC,0.0356555770013073,25,0,0,0,0,25
Manchas de pele,Difícil,4.531361424000352,1443,0.00421,AC,0.9826426430008725,61,0,0,0,0,61
Castelos da Nlogônia,Médio,4.142010016999848,1505,0.004214,AC,0.0477166900018346,36,0,0,0,0,36
Capitais,Difícil,3.3451640299972496,1185,0.0035859999999999,WA,0.5268604820012115,1,37,0,0,0,38
Quadrado Mágico_2022,Médio,4.8072731560023385,1288,0.004416,AC,0.0364044250018196,20,0,0,0,0,20
Piloto Automático,Fácil,1.5742541820000042,878,0.001996,AC,0.0336136799996893,17,0,0,0,0,17
Falta uma,Fácil,2.085490821998974,905,0.002294,WA,0.1656426010013092,2,21,5,0,0,28
Palavras Cruzadas_2020,Médio,2.2049174860003404,1334,0.0033159999999999,AC,0.0759200989996315,20,0,0,0,0,20
Piso da escola,Fácil,1.9259107849975408,1239,0.002846,WA,0.0440807250015495,1,29,0,0,0,30
Ônibus,Médio,2.3473139560010168,1094,0.0029119999999999,AC,0.0764621759990404,19,0,0,0,0,19
Chocolate em barra,Fácil,2.820593389998976,1139,0.00307,AC,0.0457208210027602,28,0,0,0,0,28
Campo Minado,Fácil,1.4502698479991525,946,0.0022199999999999,AC,0.0547973100001399,48,0,0,0,0,48
Fila_2025,Médio,1.6844589079992147,1429,0.003222,WA,0.1670417919995088,19,7,0,0,0,26
Jogo dos Pinos,Fácil,2.3029012999977567,1280,0.003308,AC,0.0373391110006195,16,0,0,0,0,16
Diagonal,Médio,2.854006843001116,1358,0.0035839999999999,WA,15.0,16,25,0,5,0,46
Sr. Toupeira,Médio,2.876812785001676,1554,0.003968,AC,0.7957090669988247,26,0,0,0,0,26
Sr. Sapo,Difícil,3.981952285997977,1519,0.004466,AC,0.0992318309981783,29,0,0,0,0,29
Duende Perdido,Médio,4.442599603000417,1647,0.004786,AC,0.0395442010012629,20,0,0,0,0,20
Bingo!,Médio,2.87825339200208,1270,0.003528,AC,1.4862962540028093,35,0,0,0,0,35
Ponto do meio,Fácil,1.3056519869969634,978,0.002168,AC,0.0452397669978381,31,0,0,0,0,31
Game-10,Fácil,1.1189912459994955,974,0.0021479999999999,AC,0.0561872949983808,46,0,0,0,0,46
TV da Vovó,Médio,3.637356533999992,1924,0.004968,WA,0.7466414039990923,1,9,0,0,0,10
Dança Indígena,Difícil,160.72361009900123,16375,0.0926579999999999,RE,0.1151911940032732,0,0,30,0,0,30
Chuva_2016,Médio,2.914249784000276,1149,0.00317,WA,0.3620519949981826,36,4,0,0,0,40
Dança de Formatura,Médio,3.753005791997566,2000,0.005416,WA,3.330247647998476,15,40,0,0,0,55
Cubo Preto,Fácil,1.73040974900141,965,0.002342,AC,0.0234726529997715,11,0,0,0,0,11
Competição de chocolate,Médio,1.8108021820007707,1129,0.002498,WA,0.0911713150017021,72,17,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,4.05410036199828,1363,0.003854,AC,0.6263776030027657,52,0,0,0,0,52
