question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,2.504584334004903,1427,0.0036379999999999997,AC,0.044992563998675905,22,0,0,0,0,22
Gomoku,Médio,2.5095076219949988,1800,0.004428,AC,0.05099742500169668,30,0,0,0,0,30
Notas da Prova,Fácil,1.4081169349956326,935,0.002118,AC,0.03977563600346912,20,0,0,0,0,20
Jogo da Vida,Médio,3.167364702996565,1799,0.004726,AC,0.323820646997774,19,0,0,0,0,19
Muro,Médio,2.2013250989984954,949,0.00243,WA,0.06192293099593371,3,38,0,0,0,41
O Chefe,Médio,58.89121564300149,8606,0.045804000000000004,RE,0.1536265819959226,0,0,28,0,0,28
Proteja sua senha,Médio,3.101961206004489,1393,0.003802,RE,0.060694254003465176,0,0,10,0,0,10
Chinelos,Fácil,1.440223732002778,1047,0.0024779999999999997,AC,0.03380318600102328,16,0,0,0,0,16
Jogo dos copos,Fácil,2.85189665100188,1108,0.002744,AC,0.07860429900028976,50,0,0,0,0,50
Tiro ao Alvo,Médio,2.492115205997834,1313,0.0035139999999999998,AC,0.8159752119972836,41,0,0,0,0,41
Robô_2021,Médio,2.2822108500040486,1230,0.003032,AC,0.06379594199825078,50,0,0,0,0,50
Transportes,Difícil,5.127461637996021,2398,0.006768,TLE,29.559350030998758,82,0,0,25,0,107
Jogo de Dominós,Fácil,1.6676701420001336,739,0.001594,WA,0.07854297499579843,1,41,0,0,0,42
Arco e flecha,Médio,2.460407247999683,1196,0.003208,TLE,15.033474466996267,10,0,0,29,0,39
Móbile,Médio,3.0030121640011203,1383,0.0035779999999999996,AC,0.2222973770039971,103,0,0,0,0,103
Campo de Minhocas,Fácil,1.5282477009968716,1313,0.0033139999999999997,AC,0.0771606230046018,20,0,0,0,0,20
Entrega de Caixas,Fácil,2.148570916004246,927,0.002154,WA,0.048741949001851026,17,5,0,0,0,22
Cinema,Fácil,1.4924122169977636,634,0.00164,WA,0.04949884099914925,3,17,0,0,0,20
Montanha,Médio,1.195358965000196,904,0.002108,AC,0.05766558599862037,33,0,0,0,0,33
Torre,Médio,2.0804312439940986,1038,0.002768,WA,1.4247631729958812,0,33,0,0,0,33
Mesa redonda,Fácil,1.5037954130020807,1032,0.002492,WA,0.068760572001338,0,65,0,0,0,65
Pizzaria,Fácil,1.0279302519993507,952,0.00208,AC,0.025405412998225074,10,0,0,0,0,10
Redes de Descanso,Médio,3.301295552002557,1314,0.00396,WA,0.3265101910001249,1,34,0,0,0,35
