question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,1.6741822979820427,921,0.00022859999999999997,WA,0.7149095089989714,0,33,0,0,0,33
Capitais,Difícil,2.214245585986646,945,0.0002736,WA,0.31302165798842907,1,37,0,0,0,38
Chocolate em barra,Fácil,1.5591704259859398,907,0.00020669999999999998,WA,0.058716450992506,13,15,0,0,0,28
Fita Colorida,Médio,1.277898960019229,864,0.00020789999999999998,AC,0.08757473499281332,31,0,0,0,0,31
Fila_2015,Difícil,1.9079311850073282,1248,0.0003258,WA,15.0,0,18,0,12,0,30
Quebra-cabeça,Médio,1.4743010250094812,857,0.00020189999999999997,AC,0.5411272319906857,24,0,0,0,0,24
Prêmio do Milhão,Fácil,0.8458988149941433,775,0.00014639999999999998,AC,0.05467241501901299,20,0,0,0,0,20
Móbile_2015,Fácil,0.8471031470107846,563,0.00010964999999999998,AC,0.041188608010997996,30,0,0,0,0,30
Família real,Médio,1.97071535201394,1119,0.00030734999999999996,AC,0.050583428994286805,15,0,0,0,0,15
Mina,Médio,1.9115293140057474,975,0.000279,AC,0.10717410501092672,40,0,0,0,0,40
Cálculo,Médio,1.470907710987376,1206,0.0002799,WA,0.05790933899697848,0,29,0,0,0,29
Cobra coral,Fácil,0.8461050339974463,670,0.00013155,WA,0.04414008799358271,9,16,0,0,0,25
Letras,Médio,1.1152222649834584,670,0.00014774999999999999,TLE,15.0,32,0,0,32,0,64
Arquivos,Médio,1.3461881910043303,687,0.0001611,AC,0.17892977100564167,32,0,0,0,0,32
Código,Fácil,0.7769216949818656,673,0.00013245,AC,0.05706007799017243,28,0,0,0,0,28
