question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,41.90981069600093,5537,0.0,AC,0.072629289003089,30,0,0,0,0,30
Torre,Médio,358.8196672460035,40600,0.0,AC,0.5615974870015634,33,0,0,0,0,33
Capitais,Difícil,269.55387088000134,31782,0.0,WA,0.4504539120098343,31,7,0,0,0,38
Chocolate em barra,Fácil,14.765570048999509,2470,0.0,AC,0.0542006629984825,28,0,0,0,0,28
Fita Colorida,Médio,44.559147464009584,6222,0.0,AC,0.0513731660030316,31,0,0,0,0,31
Fila_2015,Difícil,237.23878170199168,26074,0.0,TLE,15.0,23,0,0,7,0,30
Quebra-cabeça,Médio,55.24119626099127,7149,0.0,AC,0.420682502008276,24,0,0,0,0,24
Prêmio do Milhão,Fácil,19.226897929009283,3092,0.0,AC,0.0304697860119631,20,0,0,0,0,20
Móbile_2015,Fácil,15.602688298997236,2512,0.0,AC,0.0481939690071158,30,0,0,0,0,30
Família real,Médio,58.87814282000181,8206,0.0,AC,0.0472106050001457,15,0,0,0,0,15
Mina,Médio,21.60474347999844,3710,0.0,AC,0.0698287569975946,40,0,0,0,0,40
Cálculo,Médio,134.96277330600424,17249,0.0,AC,0.0505577759904554,29,0,0,0,0,29
Cobra coral,Fácil,162.67251045801095,22779,0.0,AC,0.0554159000021172,25,0,0,0,0,25
Letras,Médio,61.72835280399886,7365,0.0,AC,0.6829321520053782,64,0,0,0,0,64
Arquivos,Médio,18.793734161998145,2926,0.0,AC,0.4733712209999794,32,0,0,0,0,32
Código,Fácil,11.864263878000202,2258,0.0,AC,0.0512920640030643,28,0,0,0,0,28
Jogo da Vida,Médio,35.54982283200661,5666,0.0,AC,0.3209810060070595,19,0,0,0,0,19
Muro,Médio,369.2102508460084,44665,0.0,AC,0.0567271579930093,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,34.06799750500068,5521,0.0,AC,0.0679255869908956,54,0,0,0,0,54
Chinelos,Médio,12.293964810989564,2458,0.0,AC,0.0273608120041899,16,0,0,0,0,16
Hotel,Fácil,23.0930811700091,3509,0.0,AC,0.0441693110042251,30,0,0,0,0,30
Jogo dos copos,Fácil,18.845187173006707,3162,0.0,AC,0.0610048179951263,50,0,0,0,0,50
Carnaval,Fácil,22.6985051100055,3837,0.0,AC,0.0552109470008872,40,0,0,0,0,40
Tiro ao Alvo,Médio,16.43134662399825,3438,0.0,AC,0.361071595994872,41,0,0,0,0,41
Transportes,Difícil,595.4580477620038,67977,0.0,NO CODE,0.0,0,0,0,0,0,107
Álbum da copa,Fácil,6.536467101002927,1784,0.0,AC,0.0503247180022299,25,0,0,0,0,25
Jogo de Dominós,Fácil,9.90339125599712,2058,0.0,AC,0.0465286059916252,42,0,0,0,0,42
Arco e flecha,Difícil,289.7516062469949,33553,0.0,AC,5.047774570994079,39,0,0,0,0,39
Quadrado Mágico,Fácil,65.84320192100131,8549,0.0,AC,0.0457320320128928,20,0,0,0,0,20
Quase primo,Médio,215.05803605700203,23842,0.0,AC,0.2255173829908017,63,0,0,0,0,63
Lâmpadas,Fácil,22.9825558589946,3373,0.0,AC,0.107326836005086,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,73.90775259899965,9207,0.0,AC,0.0286201190028805,9,0,0,0,0,9
Rodovia_2013,Difícil,29.949728358988068,4189,0.0,AC,0.1601811889995588,78,0,0,0,0,78
Coleção de Upas,Médio,76.39244469998812,9236,0.0,AC,0.5437870119931176,42,0,0,0,0,42
Cinema,Fácil,6.134678624002845,1597,0.0,AC,0.0338017930043861,20,0,0,0,0,20
Fila,Médio,11.30453835699882,2488,0.0,AC,0.1854077549942303,44,0,0,0,0,44
Montanha,Fácil,31.22419280000031,4517,0.0,AC,0.0477337860065745,33,0,0,0,0,33
Chuva,Médio,566.5386400589923,66846,0.0,NO CODE,0.0,0,0,0,0,0,40
Festa olímpica,Difícil,220.98820747400168,23956,0.0,AC,1.693053545008297,34,0,0,0,0,34
"Pô, que mão",Fácil,14.552126130001852,2501,0.0,AC,0.0732292949978727,120,0,0,0,0,120
Relógio,Médio,21.105400323998765,3317,0.0,AC,0.0724303390015848,52,0,0,0,0,52
Mesa redonda,Fácil,22.11843766500533,3944,0.0,AC,0.0635095140023622,65,0,0,0,0,65
Sorvete,Médio,79.20470778200252,11430,0.0,AC,0.1090440970001509,10,0,0,0,0,10
Expressões,Fácil,210.83248280599943,23610,0.0,AC,0.4063311680074548,51,0,0,0,0,51
Mancha,Médio,600.7586373029917,67150,0.0,NO CODE,0.0,0,0,0,0,0,30
Direção,Fácil,16.030248555005528,2298,0.0,AC,0.0516681810113368,24,0,0,0,0,24
Nova avenida,Médio,112.82065520600008,12758,0.0,AC,0.0750957269920036,12,0,0,0,0,12
Telescópio,Fácil,30.579710297010024,4450,0.0,AC,0.0633288440003525,33,0,0,0,0,33
Game Show,Fácil,18.44786883200868,2749,0.0,AC,0.0451501540082972,25,0,0,0,0,25
Manchas de pele,Difícil,17.347142038983293,2844,0.0,AC,0.6864702470193151,61,0,0,0,0,61
Temperatura Lunar,Médio,79.5720933630073,8715,0.0,AC,0.065448681009002,10,0,0,0,0,10
Castelos da Nlogônia,Difícil,31.162091058009537,4532,0.0,AC,0.0586368570220656,36,0,0,0,0,36
Matriz Escada,Médio,37.37294141398161,5104,0.0,AC,0.1801736810011789,59,0,0,0,0,59
Pedágio_2002,Médio,50.88977577301557,6359,0.0,WA,0.0632948410056997,0,10,0,0,0,10
Fusões,Médio,26.029270245984662,3894,0.0,AC,0.2335414330009371,29,0,0,0,0,29
Falta uma,Fácil,27.05956417601556,3311,0.0,AC,0.2114531150145921,28,0,0,0,0,28
Sanduíche,Médio,78.50373711599968,8311,0.0,AC,0.1062289479887113,23,0,0,0,0,23
Blefe,Médio,92.85627448701416,9801,0.0,AC,1.028671542997472,50,0,0,0,0,50
Tabela do campeonato,Médio,158.4932404840074,16003,0.0,AC,0.1322613939992152,124,0,0,0,0,124
Clube dos Cinco,Difícil,170.28806602599798,20111,0.0,AC,0.0669621910201385,81,0,0,0,0,81
Piso da escola,Fácil,408.2529924570117,38594,0.0,AC,0.0402116420154925,30,0,0,0,0,30
Caravana,Fácil,13.715814582974415,2326,0.0,AC,0.0274735790153499,8,0,0,0,0,8
Ônibus,Médio,21.83048103598412,2153,0.0,AC,0.0541529640031512,19,0,0,0,0,19
Chocolate_2012,Fácil,81.77710220398149,9432,0.0,AC,0.068679507006891,50,0,0,0,0,50
Altas Aventuras,Difícil,304.8675863840035,29014,0.0,AC,0.1148728830157779,53,0,0,0,0,53
Jogo dos Pinos,Fácil,52.71141672201338,6580,0.0,AC,0.0439686510071624,16,0,0,0,0,16
Fechadura,Fácil,32.186333966994425,3995,0.0,AC,0.0662123990186955,50,0,0,0,0,50
Sr. Toupeira,Médio,25.614106344000906,3992,0.0,AC,0.7889296390058007,26,0,0,0,0,26
Sr. Sapo,Médio,42.86677743998007,5477,0.0,AC,0.0812941990152467,29,0,0,0,0,29
Ponto do meio,Médio,44.66041957697598,5865,0.0,AC,0.0554723909881431,31,0,0,0,0,31
Ogro_2024,Fácil,4.942481726000551,1648,0.0,AC,0.0481181599898263,20,0,0,0,0,20
Pirâmide_2022,Médio,24.82717894599773,3777,0.0,WA,0.066343771002721,1,38,0,0,0,39
Game-10,Fácil,19.218735239002854,2697,0.0,AC,0.0513640380231663,46,0,0,0,0,46
Restaurante de pizza,Fácil,46.84844608799904,5285,0.0,AC,0.0603768840082921,60,0,0,0,0,60
Zip,Fácil,10.950447177980095,1962,0.0,AC,0.0498947650194168,40,0,0,0,0,40
Consecutivos,Fácil,9.517032502015354,1949,0.0,AC,0.0993991089926566,50,0,0,0,0,50
Dança de Formatura,Médio,59.35019575097249,7542,0.0,AC,1.9787461780069864,55,0,0,0,0,55
