question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,157.681549446992,10921,0.033367600000000004,AC,0.6951227950048633,33,0,0,0,0,33
Capitais,Difícil,247.64107803901425,14130,0.0437134,WA,0.48356114099442493,27,11,0,0,0,38
Chocolate em barra,Fácil,40.123524668000755,3531,0.009647,AC,0.0721733829996083,28,0,0,0,0,28
Fita Colorida,Médio,64.43234451900935,4480,0.0128048,AC,0.15509815400582738,31,0,0,0,0,31
Fila_2015,Difícil,84.81278982799267,9568,0.0285078,TLE,15.0,6,0,0,24,0,30
Quebra-cabeça,Médio,60.76910752800177,4140,0.0116948,AC,0.4421185559913283,24,0,0,0,0,24
Prêmio do Milhão,Fácil,31.928543214991805,1300,0.002642,RE,0.1299580320046516,0,0,20,0,0,20
Móbile_2015,Fácil,22.861286323997774,1821,0.0047095999999999996,AC,0.09261400600371417,30,0,0,0,0,30
Família real,Médio,61.0576678209909,7282,0.0215512,AC,0.06681722300709225,15,0,0,0,0,15
Mina,Médio,73.28894549900724,4611,0.0132394,AC,0.08438231899344828,40,0,0,0,0,40
Cálculo,Médio,102.91321968899865,7004,0.020259,AC,0.06287327500467654,29,0,0,0,0,29
Cobra coral,Fácil,70.68268354299653,8669,0.026400999999999997,AC,0.04983889700088184,25,0,0,0,0,25
Letras,Médio,114.75606966200576,7019,0.0212134,AC,0.9182817069959128,64,0,0,0,0,64
Arquivos,Médio,37.309343859000364,2797,0.007725,AC,0.21989736700197682,32,0,0,0,0,32
Código,Fácil,111.95832345400413,3478,0.009858,AC,0.06799050499103032,28,0,0,0,0,28
