question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,28.81647323000652,2363,0.00070728,AC,0.0511993819964118,30,0,0,0,0,30
Jogo da Vida,Médio,37.337884071996086,2246,0.00066934,AC,0.2375500979978824,19,0,0,0,0,19
Muro,Médio,142.71615869400557,6194,0.0024346,WA,0.0591362739942269,6,35,0,0,0,41
Lâmpadas do hotel,Fácil,38.04971881299571,2646,0.00092904,AC,0.1102419899980304,54,0,0,0,0,54
Chinelos,Médio,5.459757069998886,1587,0.00046802,AC,0.0364061860018409,16,0,0,0,0,16
Hotel,Fácil,21.756018845000654,1503,0.00044338,AC,0.0755094960040878,30,0,0,0,0,30
Jogo dos copos,Fácil,7.1932263689959655,1669,0.00049322,AC,0.0731296619924251,50,0,0,0,0,50
Carnaval,Fácil,12.397865207007271,1232,0.00035476,AC,0.0547327300009783,40,0,0,0,0,40
Tiro ao Alvo,Médio,16.804408431999036,1699,0.0005033,WA,0.503982858004747,2,39,0,0,0,41
Transportes,Difícil,20.934524849013545,2831,0.00084826,TLE,15.0,90,0,0,17,0,107
Álbum da copa,Fácil,7.051194988991483,1452,0.00042364,AC,0.1396759480121545,25,0,0,0,0,25
Jogo de Dominós,Fácil,6.616950652998639,1278,0.00037366,AC,0.1284180500078946,42,0,0,0,0,42
Arco e flecha,Difícil,31.92340337000496,1994,0.00063196,RE,0.9666354359942488,0,1,38,0,0,39
Quadrado Mágico,Fácil,36.14946363099443,1570,0.00048776,AC,0.0617224260058719,20,0,0,0,0,20
Quase primo,Médio,18.267179252012284,1448,0.00043414,TLE,15.0,57,0,0,6,0,63
Lâmpadas,Fácil,11.38379565399373,1302,0.0003815,AC,0.1325737469887826,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,11.91814803199668,2259,0.00068278,AC,1.1726613159989938,9,0,0,0,0,9
Rodovia_2013,Difícil,15.41240929000196,1812,0.00056266,AC,0.2606437540089246,78,0,0,0,0,78
Coleção de Upas,Médio,24.24678485700861,2191,0.000728,TLE,15.0,28,0,0,14,0,42
Cinema,Fácil,16.500386885003536,1136,0.00033544,AC,0.0294034499966073,20,0,0,0,0,20
Fila,Médio,5.008642204003991,1439,0.00042182,AC,0.2497101379995001,44,0,0,0,0,44
Montanha,Fácil,4.32948548499553,1376,0.00039928,AC,0.0594334530032938,33,0,0,0,0,33
Chuva,Médio,18.46634673500376,1511,0.0004522,AC,0.3194881950039416,40,0,0,0,0,40
Festa olímpica,Difícil,28.49776537400612,2337,0.00075852,WA,15.0,5,28,0,1,0,34
"Pô, que mão",Fácil,22.813394539,1364,0.00039718,AC,0.0910351159982383,120,0,0,0,0,120
Relógio,Médio,17.368598999993992,1565,0.00046088,AC,0.0626751770032569,52,0,0,0,0,52
Torre,Médio,24.609958233995712,1503,0.0004494,AC,0.9437392730033024,33,0,0,0,0,33
Mesa redonda,Fácil,48.77553291199729,1884,0.0005992,WA,0.0898760400013998,0,65,0,0,0,65
Sorvete,Médio,21.91313912300393,1849,0.000553,AC,0.1366232170112198,10,0,0,0,0,10
Expressões,Fácil,19.233425130005344,1577,0.00046606,AC,0.450746907008579,51,0,0,0,0,51
Mancha,Médio,50.33173483100836,2160,0.00068222,TLE,15.0,15,0,0,15,0,30
Direção,Fácil,22.413506777011207,1197,0.00035294,AC,0.0513822130014887,24,0,0,0,0,24
Nova avenida,Médio,43.27672959001211,1772,0.00055482,WA,0.0936437450000085,1,11,0,0,0,12
Telescópio,Fácil,10.036591737996789,1738,0.00050274,AC,0.0897860330005642,33,0,0,0,0,33
Game Show,Fácil,14.07125932299823,1757,0.00050652,AC,0.0437609749933471,25,0,0,0,0,25
Manchas de pele,Difícil,27.36332780298835,1613,0.00049,AC,0.9728103560046292,61,0,0,0,0,61
Temperatura Lunar,Médio,23.287531110006967,1896,0.00057204,WA,0.062747115996899,2,8,0,0,0,10
Castelos da Nlogônia,Difícil,37.87989458399534,2078,0.00065884,AC,0.0498799100023461,36,0,0,0,0,36
Matriz Escada,Médio,16.209081831999356,1517,0.00045346,RE,0.3114209530031075,4,0,55,0,0,59
Pedágio_2002,Médio,8.951894292011275,1967,0.0006027,WA,0.056315697991522,0,10,0,0,0,10
Fusões,Médio,41.65993551899737,1852,0.00056294,AC,0.2878113120095804,29,0,0,0,0,29
Capitais,Difícil,34.55947776099492,1660,0.00052234,WA,0.3796699980011908,3,35,0,0,0,38
Falta uma,Fácil,12.37456920799741,1290,0.00038304,WA,0.2785844210011419,3,25,0,0,0,28
Sanduíche,Médio,7.918617000992526,1732,0.00053032,AC,0.179916677006986,23,0,0,0,0,23
Blefe,Médio,47.10515357500117,1674,0.00051226,TLE,15.0,28,0,0,22,0,50
Tabela do campeonato,Médio,212.22289305800223,3368,0.00121086,WA,0.0775385279994225,106,18,0,0,0,124
Clube dos Cinco,Difícil,50.04185170099663,1775,0.00054446,WA,0.111435907005216,51,30,0,0,0,81
Piso da escola,Fácil,13.967271482993963,1480,0.00043694,WA,0.0550342540082056,0,30,0,0,0,30
Caravana,Fácil,3.06843152800866,1402,0.00040768,AC,0.0462079600110882,8,0,0,0,0,8
Ônibus,Médio,10.540902918990469,1526,0.0004634,AC,0.0710786910058232,19,0,0,0,0,19
Chocolate_2012,Fácil,58.218993486996624,1386,0.00042742,AC,0.0637625429953914,50,0,0,0,0,50
Chocolate em barra,Fácil,12.74088689299242,1524,0.00045248,AC,0.0838386940013151,28,0,0,0,0,28
Altas Aventuras,Difícil,9.20373985200422,1537,0.00046172,AC,0.0867319440003484,53,0,0,0,0,53
Jogo dos Pinos,Fácil,48.05218240000249,1576,0.00047334,AC,0.0439461680070962,16,0,0,0,0,16
Fechadura,Fácil,34.1010122949956,1457,0.0004277,AC,0.0880701900023268,50,0,0,0,0,50
Sr. Toupeira,Médio,8.457620956003666,2027,0.0006041,AC,0.8250956660049269,26,0,0,0,0,26
Sr. Sapo,Médio,14.658267008999246,1820,0.00055804,WA,0.0985096429940313,23,6,0,0,0,29
Fita Colorida,Médio,4.73392096599855,1526,0.00046396,AC,0.0671073789999354,31,0,0,0,0,31
Ponto do meio,Médio,77.44829403900076,1873,0.00061054,AC,0.0804549519962165,31,0,0,0,0,31
Ogro_2024,Fácil,4.68937736999942,1327,0.00037856,AC,0.0525449330016272,20,0,0,0,0,20
Pirâmide_2022,Médio,10.688160349993268,1519,0.00044702,WA,0.0585243920068023,1,38,0,0,0,39
Game-10,Fácil,6.267937145006727,1516,0.0004459,WA,0.0813090770097915,29,17,0,0,0,46
Restaurante de pizza,Fácil,8.721538259997033,1523,0.00045178,AC,0.0783610549988225,60,0,0,0,0,60
Zip,Fácil,4.273838482011342,1496,0.00044114,AC,0.0691560069972183,40,0,0,0,0,40
Consecutivos,Fácil,3.996105917991372,1317,0.00038724,AC,0.1357876560068689,50,0,0,0,0,50
Dança de Formatura,Médio,5.641974693993689,2327,0.00069356,AC,2.048437366000144,55,0,0,0,0,55
Estrada,Médio,3.873853790006251,1458,0.00043442,WA,0.071697198000038,0,30,0,0,0,30
Duplas de tênis,Fácil,3.860788391000824,1314,0.0003941,AC,0.066955181013327,40,0,0,0,0,40
Show,Médio,5.999591763989884,1728,0.00052654,AC,0.0506280249974224,25,0,0,0,0,25
Loteria,Fácil,3.3786413699999684,1361,0.00039662,AC,0.0630870970053365,39,0,0,0,0,39
Cubo Preto,Fácil,2.425695786005236,1375,0.000399,AC,0.0373983040044549,11,0,0,0,0,11
Robô,Fácil,3.705652257995098,1739,0.00051338,AC,0.0823633980035083,50,0,0,0,0,50
Etiquetas,Difícil,13.895602313001293,2138,0.00073038,WA,12.883597692998592,30,31,0,0,0,61
Campeonato,Fácil,4.231299784005387,1402,0.00040964,AC,0.1132509019953431,50,0,0,0,0,50
Dominó_2001,Médio,7.669332001009025,1745,0.00055132,AC,0.0390657990064937,10,0,0,0,0,10
Reduzindo detalhes em um mapa,Médio,5.685551563001354,1619,0.00048846,AC,0.654086043999996,52,0,0,0,0,52
Caminho das Pontes,Médio,6.493142911000177,2106,0.00063378,RE,0.0639409930008696,0,0,1,0,0,1
Botas Trocadas,Fácil,3.637556749992655,1427,0.00042392,AC,0.0614344100031303,28,0,0,0,0,28
VAR,Fácil,1.9389709389943164,1320,0.00037842,WA,0.06533979899541,27,14,0,0,0,41
Dona Lesma,Fácil,3.310584952996578,1266,0.0003703,AC,0.0332889799901749,20,0,0,0,0,20
Frequencia na aula,Fácil,2.120512716996018,1314,0.00037842,AC,0.5070572749973508,100,0,0,0,0,100
Salada de Frutas,Fácil,30.066228968993528,1699,0.00050316,AC,0.0661848760064458,28,0,0,0,0,28
Ciclovias,Médio,19.35134739500063,2218,0.0007154,WA,3.664318836992608,0,40,0,0,0,40
Pulo do Gato,Médio,20.81875616699108,1654,0.0004942,WA,0.2350085729995044,9,38,0,0,0,47
Semente,Médio,20.88468570599798,1454,0.000441,AC,0.0534702589939115,40,0,0,0,0,40
Vice-campeão,Fácil,12.117608144995756,1271,0.00037338,AC,0.0487502930045593,30,0,0,0,0,30
Tanque de combustível,Fácil,11.24277661400265,1473,0.0004284,AC,0.036939686993719,20,0,0,0,0,20
Candidatas,Difícil,95.64139581599738,2682,0.00092358,WA,15.0,0,11,0,9,0,20
Toca do Saci,Fácil,43.6576158740063,2135,0.0006601,WA,1.0737037219951162,0,51,0,0,0,51
Dígitos,Difícil,67.32024925999576,1922,0.00064638,AC,0.1642178040056023,33,0,0,0,0,33
Caminhos do reino,Difícil,155.06507169399993,3545,0.00123354,WA,15.0,7,30,0,3,0,40
Cartas,Fácil,3.5707471589994384,1181,0.00033866,AC,0.0593725469952914,30,0,0,0,0,30
Flíper,Fácil,2.6561221800075145,1217,0.0003486,AC,0.052575516005163,15,0,0,0,0,15
Drone de Entrega,Médio,2.475319709003088,1393,0.0004032,AC,0.1219667749974178,51,0,0,0,0,51
Aeroporto,Fácil,7.924020666003344,1680,0.00050148,WA,0.0962784430012106,0,10,0,0,0,10
Leilão,Fácil,5.830556186992908,1434,0.00042014,AC,0.0524106020020553,24,0,0,0,0,24
Busca na Internet,Fácil,1.825301285993192,1178,0.00034342,AC,0.0579396250104764,30,0,0,0,0,30
Mapa,Difícil,10.76415654399898,1580,0.00048132,AC,0.9076665220054564,38,0,0,0,0,38
Medalhas,Fácil,5.822928497989778,1363,0.00039564,AC,0.0772507640067488,69,0,0,0,0,69
Construtora,Médio,64.12473324099847,3084,0.0011080999999999,AC,0.0609331610030494,38,0,0,0,0,38
Jogo,Fácil,5.728574173001107,1411,0.00041188,AC,0.0946730909927282,18,0,0,0,0,18
Maximin,Médio,17.452441547997296,1970,0.00061418,AC,0.0415531780017772,24,0,0,0,0,24
Carro elétrico,Médio,14.437940044997958,1973,0.00060802,AC,0.106946590996813,19,0,0,0,0,19
Dario e Xerxes,Fácil,12.244155539010537,1565,0.0004823,WA,0.0441213200101628,9,13,0,0,0,22
Retas,Difícil,59.53312313099741,3988,0.00147126,WA,2.6737034550023964,6,37,0,0,0,43
Viagem,Difícil,16.413842947993544,2446,0.00074522,AC,0.0921799089992418,28,0,0,0,0,28
Soma,Difícil,6.425733319003484,1409,0.00041524,WA,0.3728569909872021,0,50,0,0,0,50
Estoque,Fácil,8.548013093997724,1838,0.00054222,AC,0.06218268199882,23,0,0,0,0,23
Recibo de Compra,Médio,12.49557519100199,1444,0.00044464,AC,0.0622378800035221,47,0,0,0,0,47
Chaves,Fácil,6.047472436999669,1451,0.00042378,AC,0.194544516998576,78,0,0,0,0,78
Caverna de Ordinskaya,Médio,17.03166800699546,2101,0.00065156,AC,0.1630638019996695,90,0,0,0,0,90
Barcos da Nlogônia,Difícil,23.98622362500464,2366,0.00075502,WA,1.4167150639987085,19,33,0,0,0,52
Frete,Médio,9.420620035991304,1744,0.00052262,AC,0.0618882260023383,35,0,0,0,0,35
Teste de redação,Fácil,17.15102225600276,1577,0.00050456,WA,0.0571364260104019,0,5,0,0,0,5
Tacos de bilhar,Médio,5.356270126008894,1423,0.00041482,AC,0.162352439991082,15,0,0,0,0,15
Bolas,Fácil,12.629087368986802,1430,0.00044436,AC,0.0318739119975362,19,0,0,0,0,19
Prêmio,Fácil,4.109137981009553,1493,0.0004354,AC,0.0589917959878221,40,0,0,0,0,40
Falha de segurança,Difícil,13.203286398987984,1660,0.00050988,WA,13.803555624006547,4,26,0,0,0,30
Bombom,Fácil,12.422480752007688,1719,0.00052668,AC,0.0641205199935939,50,0,0,0,0,50
Câmara de Compensação,Difícil,13.332591283004149,2285,0.00069034,WA,0.8606206410040613,24,4,0,0,0,28
Tira-teima,Fácil,4.410432007993222,1311,0.00037828,AC,0.0590803509985562,46,0,0,0,0,46
Taxa,Difícil,16.67852780901012,2125,0.00090568,AC,1.6470908599876566,36,0,0,0,0,36
Atlanta,Fácil,18.885792208995557,1759,0.0007122999999999,AC,0.0642659709992585,40,0,0,0,0,40
