question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,21.420508215000154,2358,0.0076159999999999,AC,0.0638026289998379,30,0,0,0,0,30
Jogo da Vida,Médio,20.621439710999997,2890,0.0088799999999999,AC,0.3933511500000008,19,0,0,0,0,19
Muro,Médio,23.716339282999968,1420,0.00437,AC,0.0627898939999909,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,20.58792177700002,1393,0.0035659999999999,AC,0.0583632529999817,54,0,0,0,0,54
Chinelos,Médio,18.57522490700001,1585,0.00475,AC,0.0271874960000104,16,0,0,0,0,16
Hotel,Fácil,23.10981545200002,1496,0.003932,AC,0.0438511500000231,30,0,0,0,0,30
Jogo dos copos,Fácil,12.025478158,1650,0.0052,AC,0.0728836540000088,50,0,0,0,0,50
Carnaval,Fácil,14.075102195,1278,0.0032259999999999997,AC,0.08710709100000713,40,0,0,0,0,40
Tiro ao Alvo,Médio,20.994111447000023,1703,0.005436,AC,0.4156137770000896,41,0,0,0,0,41
Transportes,Difícil,75.13030972000001,3083,0.012696,AC,4.004245573999924,107,0,0,0,0,107
Álbum da copa,Fácil,11.192433611999832,1422,0.003764,AC,0.045949406000090676,25,0,0,0,0,25
Jogo de Dominós,Fácil,7.226878143000022,1238,0.003006,AC,0.053383297999971546,42,0,0,0,0,42
Arco e flecha,Difícil,75.19264451599997,2019,0.009258,AC,3.9620996439998635,39,0,0,0,0,39
Quadrado Mágico,Fácil,23.572092385999895,1499,0.005398,AC,0.04480378900007054,20,0,0,0,0,20
Quase primo,Médio,57.788998655000114,1545,0.0056500000000000005,AC,0.0674608280000939,63,0,0,0,0,63
Lâmpadas,Fácil,14.773783496000078,1282,0.003294,AC,0.11311266500001693,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,30.951347708999947,2220,0.0079,AC,0.03252282199991896,9,0,0,0,0,9
Rodovia_2013,Difícil,42.46461383099995,1791,0.0068520000000000005,AC,0.13786091799988753,78,0,0,0,0,78
Coleção de Upas,Médio,26.919957005000015,1659,0.005638,AC,0.6150331460000871,42,0,0,0,0,42
Cinema,Fácil,7.856442384999809,1225,0.0038399999999999997,AC,0.03492170899994562,20,0,0,0,0,20
Fila,Médio,10.1428380750001,1466,0.004062,AC,0.24962909400005628,44,0,0,0,0,44
Montanha,Fácil,10.74797791800006,1417,0.003974,AC,0.06147504499995193,33,0,0,0,0,33
Chuva,Médio,71.40490234000004,1638,0.006256,AC,0.3364917849999074,40,0,0,0,0,40
Festa olímpica,Difícil,52.968016030999934,1866,0.005922,AC,1.3231264560001819,34,0,0,0,0,34
"Pô, que mão",Fácil,630.3472989859999,1421,0.003982,AC,0.07028150699989055,120,0,0,0,0,120
Relógio,Médio,17.86467017000041,1604,0.004878,AC,0.0792930319998959,52,0,0,0,0,52
Torre,Médio,25.087211146999834,1563,0.005556,AC,0.7459143700002642,33,0,0,0,0,33
Mesa redonda,Fácil,19.073240511000222,1496,0.004052,AC,0.06182158599995091,65,0,0,0,0,65
Sorvete,Médio,20.274497168999915,1923,0.006926,AC,0.18038502900026288,10,0,0,0,0,10
Expressões,Fácil,51.110045224999794,1561,0.004762000000000001,AC,0.5754827770001611,51,0,0,0,0,51
Mancha,Médio,101.71446134600001,1989,0.007297999999999999,AC,0.17254121499991015,30,0,0,0,0,30
Direção,Fácil,12.472664258999885,1240,0.00364,AC,0.05086021199986135,24,0,0,0,0,24
Nova avenida,Médio,15.446275700000115,1537,0.004364,AC,0.12927104400023381,12,0,0,0,0,12
Telescópio,Fácil,14.487144624999928,1802,0.004614,AC,0.06712743699972634,33,0,0,0,0,33
Game Show,Fácil,8.021346803000142,1715,0.00438,AC,0.040239210999970965,25,0,0,0,0,25
Manchas de pele,Difícil,33.795413096000175,1742,0.007004,AC,0.5752263660001518,61,0,0,0,0,61
Temperatura Lunar,Médio,1230.1187646590001,1975,0.0074600000000000005,AC,0.06914488300026278,10,0,0,0,0,10
Castelos da Nlogônia,Difícil,1222.1276485750004,1865,0.00681,AC,0.05657972799963318,36,0,0,0,0,36
Matriz Escada,Médio,29.428455721999853,1591,0.0054020000000000006,AC,0.2173906550005995,59,0,0,0,0,59
Pedágio_2002,Médio,27.95826522599964,2032,0.008414,WA,0.07671783099976892,0,10,0,0,0,10
Fusões,Médio,24.72494327000004,1958,0.007986,AC,0.26220489099978295,29,0,0,0,0,29
Capitais,Difícil,60.57247014800032,1654,0.0070880000000000006,AC,0.36902520100011316,38,0,0,0,0,38
Falta uma,Fácil,26.083977526000126,1342,0.004454,AC,0.2385422639999888,28,0,0,0,0,28
Sanduíche,Médio,54.28878797499965,1766,0.006912,AC,0.0499139510002351,23,0,0,0,0,23
Blefe,Médio,39.776151263999964,1657,0.005823999999999999,AC,1.5441710679997414,50,0,0,0,0,50
Tabela do campeonato,Médio,24.49819044099968,1801,0.006632,AC,0.09772901700034708,124,0,0,0,0,124
Clube dos Cinco,Difícil,52.988997993999874,1628,0.004725999999999999,AC,0.07184515700009797,81,0,0,0,0,81
Piso da escola,Fácil,10.302175427000293,1451,0.003941999999999999,AC,0.055684040000414825,30,0,0,0,0,30
Caravana,Fácil,13.324051312000847,1431,0.003672,AC,0.026171227000304498,8,0,0,0,0,8
