question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,3.9945501099991816,2166,0.008390000000000002,AC,0.05068079400007264,30,0,0,0,0,30
Jogo da Vida,Médio,4.515478259001611,2187,0.0100675,AC,0.17448880900155928,19,0,0,0,0,19
Muro,Médio,2.8593758290007827,1269,0.00526,AC,0.07399627300037537,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,1.8940723929990781,1247,0.0039425,WA,0.06283323699972243,26,28,0,0,0,54
Chinelos,Médio,3.225880050998967,1427,0.005305000000000001,AC,0.0383061730008194,16,0,0,0,0,16
Hotel,Fácil,1.3907171070004551,1293,0.00412,AC,0.05547779900007299,30,0,0,0,0,30
Jogo dos copos,Fácil,2.295113890000721,1472,0.0055425000000000006,AC,0.0595332339999004,50,0,0,0,0,50
Carnaval,Fácil,1.1904066219995002,1106,0.0032525,AC,0.06514125400099147,40,0,0,0,0,40
Tiro ao Alvo,Médio,2.096857087999524,1506,0.005640000000000001,AC,0.5185959379996348,41,0,0,0,0,41
Transportes,Difícil,7.175844990000769,2877,0.01493,WA,15.219609474999743,13,73,0,21,0,107
Álbum da copa,Fácil,2.334270015999209,1266,0.0039900000000000005,AC,0.0762965379999514,25,0,0,0,0,25
Jogo de Dominós,Fácil,1.081864163001228,1103,0.0033450000000000003,AC,0.10603290200015181,42,0,0,0,0,42
Arco e flecha,Difícil,4.176111516000674,1609,0.0072725,WA,1.360855177999838,11,28,0,0,0,39
Quadrado Mágico,Fácil,2.698469101000228,1330,0.0059125,AC,0.04495242399934796,20,0,0,0,0,20
Quase primo,Médio,2.7381619480001973,1289,0.0050100000000000006,AC,0.2850541930001782,63,0,0,0,0,63
Lâmpadas,Fácil,1.4581580359990767,1169,0.0040100000000000005,AC,0.31509885199920973,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,3.0865991079990636,1946,0.007777500000000001,AC,0.04350222499851952,9,0,0,0,0,9
