question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,62.95359086399549,8648,0.0,AC,2.122337510008947,33,0,0,0,0,33
Capitais,Difícil,361.4595098849968,40177,0.0,AC,0.5188236329995561,38,0,0,0,0,38
Chocolate em barra,Fácil,24.219759063998936,2605,0.0,AC,0.056360316011705436,28,0,0,0,0,28
Fita Colorida,Médio,24.25701967300847,3568,0.0,AC,0.0814196539868135,31,0,0,0,0,31
Fila_2015,Difícil,130.46714495199558,17685,0.0,TLE,15.0,17,0,0,13,0,30
Quebra-cabeça,Médio,29.699019983992912,4120,0.0,AC,0.46188115699624177,24,0,0,0,0,24
Prêmio do Milhão,Fácil,19.097626720991684,2033,0.0,AC,0.048260226991260424,20,0,0,0,0,20
Móbile_2015,Fácil,14.627562702997238,2373,0.0,AC,0.06275741099670995,30,0,0,0,0,30
Família real,Médio,83.36348534800345,10295,0.0,AC,0.0636244540073676,15,0,0,0,0,15
Mina,Médio,22.343264608993195,3259,0.0,AC,0.07246648900036234,40,0,0,0,0,40
Cálculo,Médio,148.73492467399046,18461,0.0,AC,0.054531620000489056,29,0,0,0,0,29
Cobra coral,Fácil,195.6908788189903,21055,0.0,AC,0.04885442699014675,25,0,0,0,0,25
Letras,Médio,57.39654282500851,6848,0.0,AC,0.4306895650079241,64,0,0,0,0,64
Arquivos,Médio,29.061701970000286,3843,0.0,AC,0.1966446430014912,32,0,0,0,0,32
Código,Fácil,11.149158295986126,1667,0.0,AC,0.05666760299936868,28,0,0,0,0,28
