question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Gomoku,Médio,93.0119596099994,3137,0.0056054,AC,0.07221402100003615,30,0,0,0,0,30
Jogo da Vida,Médio,128.05868416999874,6323,0.015958999999999997,AC,0.18942453999989084,19,0,0,0,0,19
Muro,Médio,195.2679629510003,9533,0.0279272,AC,0.07998282500011555,41,0,0,0,0,41
Lâmpadas do hotel,Fácil,83.20086687099865,6769,0.0188492,AC,0.07929464900007588,54,0,0,0,0,54
Chinelos,Médio,57.33697839499837,4584,0.0115998,AC,0.03060949599966989,16,0,0,0,0,16
Hotel,Fácil,59.070455842998854,4010,0.0099566,AC,0.05541026400169358,30,0,0,0,0,30
Jogo dos copos,Fácil,70.49550739699953,6126,0.0164528,AC,0.0643056710014207,50,0,0,0,0,50
Carnaval,Fácil,33.08091924800101,3183,0.007682,AC,0.0536809479999647,40,0,0,0,0,40
Tiro ao Alvo,Médio,96.95440772499933,5684,0.014946,AC,0.3848327129999234,41,0,0,0,0,41
Transportes,Difícil,229.83366603800096,12080,0.0333672,AC,5.9724620140004845,107,0,0,0,0,107
Álbum da copa,Fácil,44.01174266199996,2907,0.0064952,AC,0.05393966599876876,25,0,0,0,0,25
Jogo de Dominós,Fácil,46.983694919999834,2285,0.0048238,AC,0.06495653399906587,42,0,0,0,0,42
